Benchmark,EPS Type,PE Type,EPS Change (%),PE Change (%),Adjusted EPS,Adjusted PE,Implied Index Level,Implied Return (%),Current EPS,Current PE,Current Index Level
S&P 500,trailing,trailing,49.99999999999998,9.999999999999986,337.49999999999994,30.58,10320.749999999998,64.99999999999997,225.0,27.8,6255.0
S&P 500,trailing,trailing,49.99999999999998,19.999999999999986,337.49999999999994,33.35999999999999,11258.999999999996,79.99999999999994,225.0,27.8,6255.0
S&P 500,trailing,trailing,49.99999999999998,29.999999999999982,337.49999999999994,36.13999999999999,12197.249999999996,94.99999999999996,225.0,27.8,6255.0
S&P 500,trailing,trailing,49.99999999999998,39.99999999999998,337.49999999999994,38.92,13135.499999999998,109.99999999999997,225.0,27.8,6255.0
S&P 500,trailing,trailing,49.99999999999998,49.99999999999998,337.49999999999994,41.699999999999996,14073.749999999996,124.99999999999996,225.0,27.8,6255.0
S&P 500,fwd_1y,fwd_1y,-50.0,-50.0,156.0,11.28,1759.6799999999998,-75.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-50.0,-40.0,156.0,13.536,2111.616,-70.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-50.0,-30.000000000000004,156.0,15.791999999999998,2463.5519999999997,-65.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-50.0,-20.000000000000007,156.0,18.048,2815.488,-60.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-50.0,-10.000000000000009,156.0,20.304,3167.424,-55.00000000000001,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-50.0,-1.1102230246251565e-14,156.0,22.559999999999995,3519.359999999999,-50.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-50.0,9.999999999999986,156.0,24.815999999999995,3871.2959999999994,-45.00000000000001,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-50.0,19.999999999999986,156.0,27.071999999999992,4223.231999999999,-40.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-50.0,29.999999999999982,156.0,29.327999999999996,4575.168,-35.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-50.0,39.99999999999998,156.0,31.583999999999996,4927.103999999999,-30.000000000000004,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-50.0,49.99999999999998,156.0,33.839999999999996,5279.039999999999,-25.00000000000001,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-40.0,-50.0,187.2,11.28,2111.6159999999995,-70.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-40.0,-40.0,187.2,13.536,2533.9392,-64.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-40.0,-30.000000000000004,187.2,15.791999999999998,2956.2623999999996,-58.00000000000001,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-40.0,-20.000000000000007,187.2,18.048,3378.5855999999994,-52.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-40.0,-10.000000000000009,187.2,20.304,3800.9087999999997,-46.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-40.0,-1.1102230246251565e-14,187.2,22.559999999999995,4223.231999999999,-40.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-40.0,9.999999999999986,187.2,24.815999999999995,4645.555199999999,-34.00000000000001,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-40.0,19.999999999999986,187.2,27.071999999999992,5067.878399999998,-28.000000000000025,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-40.0,29.999999999999982,187.2,29.327999999999996,5490.2015999999985,-22.000000000000007,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-40.0,39.99999999999998,187.2,31.583999999999996,5912.524799999999,-16.000000000000004,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-40.0,49.99999999999998,187.2,33.839999999999996,6334.847999999999,-10.000000000000009,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-30.000000000000004,-50.0,218.39999999999998,11.28,2463.5519999999997,-65.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-30.000000000000004,-40.0,218.39999999999998,13.536,2956.2623999999996,-58.00000000000001,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-30.000000000000004,-30.000000000000004,218.39999999999998,15.791999999999998,3448.972799999999,-51.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-30.000000000000004,-20.000000000000007,218.39999999999998,18.048,3941.683199999999,-44.00000000000001,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-30.000000000000004,-10.000000000000009,218.39999999999998,20.304,4434.393599999999,-37.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-30.000000000000004,-1.1102230246251565e-14,218.39999999999998,22.559999999999995,4927.103999999998,-30.000000000000014,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-30.000000000000004,9.999999999999986,218.39999999999998,24.815999999999995,5419.814399999998,-23.00000000000002,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-30.000000000000004,19.999999999999986,218.39999999999998,27.071999999999992,5912.524799999997,-16.000000000000025,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-30.000000000000004,29.999999999999982,218.39999999999998,29.327999999999996,6405.235199999998,-9.00000000000002,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-30.000000000000004,39.99999999999998,218.39999999999998,31.583999999999996,6897.945599999998,-2.000000000000013,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-30.000000000000004,49.99999999999998,218.39999999999998,33.839999999999996,7390.655999999998,4.999999999999982,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-20.000000000000007,-50.0,249.59999999999997,11.28,2815.4879999999994,-60.00000000000001,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-20.000000000000007,-40.0,249.59999999999997,13.536,3378.5855999999994,-52.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-20.000000000000007,-30.000000000000004,249.59999999999997,15.791999999999998,3941.683199999999,-44.00000000000001,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-20.000000000000007,-20.000000000000007,249.59999999999997,18.048,4504.780799999999,-36.00000000000001,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-20.000000000000007,-10.000000000000009,249.59999999999997,20.304,5067.878399999999,-28.000000000000014,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-20.000000000000007,-1.1102230246251565e-14,249.59999999999997,22.559999999999995,5630.975999999998,-20.000000000000018,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-20.000000000000007,9.999999999999986,249.59999999999997,24.815999999999995,6194.073599999998,-12.000000000000021,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-20.000000000000007,19.999999999999986,249.59999999999997,27.071999999999992,6757.171199999997,-4.000000000000037,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-20.000000000000007,29.999999999999982,249.59999999999997,29.327999999999996,7320.268799999998,3.9999999999999813,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-20.000000000000007,39.99999999999998,249.59999999999997,31.583999999999996,7883.366399999998,11.99999999999999,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-20.000000000000007,49.99999999999998,249.59999999999997,33.839999999999996,8446.463999999998,19.999999999999996,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-10.000000000000009,-50.0,280.79999999999995,11.28,3167.4239999999995,-55.00000000000001,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-10.000000000000009,-40.0,280.79999999999995,13.536,3800.9087999999992,-46.00000000000001,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-10.000000000000009,-30.000000000000004,280.79999999999995,15.791999999999998,4434.3935999999985,-37.000000000000014,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-10.000000000000009,-20.000000000000007,280.79999999999995,18.048,5067.878399999999,-28.000000000000014,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-10.000000000000009,-10.000000000000009,280.79999999999995,20.304,5701.363199999999,-19.000000000000007,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-10.000000000000009,-1.1102230246251565e-14,280.79999999999995,22.559999999999995,6334.847999999997,-10.000000000000032,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-10.000000000000009,9.999999999999986,280.79999999999995,24.815999999999995,6968.332799999997,-1.000000000000023,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-10.000000000000009,19.999999999999986,280.79999999999995,27.071999999999992,7601.817599999997,7.999999999999963,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-10.000000000000009,29.999999999999982,280.79999999999995,29.327999999999996,8235.302399999997,16.99999999999997,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-10.000000000000009,39.99999999999998,280.79999999999995,31.583999999999996,8868.787199999997,25.99999999999998,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-10.000000000000009,49.99999999999998,280.79999999999995,33.839999999999996,9502.271999999997,34.999999999999964,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-1.1102230246251565e-14,-50.0,311.99999999999994,11.28,3519.359999999999,-50.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-1.1102230246251565e-14,-40.0,311.99999999999994,13.536,4223.231999999999,-40.0,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-1.1102230246251565e-14,-30.000000000000004,311.99999999999994,15.791999999999998,4927.103999999998,-30.000000000000014,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-1.1102230246251565e-14,-20.000000000000007,311.99999999999994,18.048,5630.975999999999,-20.000000000000007,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-1.1102230246251565e-14,-10.000000000000009,311.99999999999994,20.304,6334.847999999998,-10.00000000000002,312.0,22.56,7038.719999999999
S&P 500,fwd_1y,fwd_1y,-1.1102230246251565e-14,-1.1102230246251565e-14,311.99999999999994,22.559999999999995,7038.7199999999975,-2.220446049250313e-14,312.0,22.56,7038.719999999999
